id,first_name,last_name,participant_id,course,course_id,register_date,participation_rate,course_completion_rate,task_completion_rate,feedback_rate
18,Ruthy,Gamet,dd0564c4-2ef1-49a0-91f9-d4f188e8016a,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,17/01/2020,33.52,38.33,74.56,64.66
19,Darwin,Brouard,89a3730a-6cea-4f53-a7db-71461c20ca21,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,19/04/2021,45.07,81.42,10.9,83.54
20,Dulsea,Kacheller,085bbc00-f18b-4cd8-9643-d138e76c45a0,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,20/09/2020,41.91,83.6,78.26,53.37
21,Adrian,Barlow,3226a4dc-8db5-4463-91e5-d100f314baa9,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,19/03/2019,60.28,78.83,53.78,90.69
22,Gray,Butlin,e19129eb-2d40-46d4-b668-3d89e4c811de,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,18/02/2019,20.07,59.3,62.92,79.24
23,Kimberlee,Bader,ad6ee7e8-e270-46d1-8990-f8d7b28d219b,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,07/10/2019,65.94,62.82,19.62,37.59
24,Kelcy,Shavel,b3e04d08-3dc0-4b47-8a79-ff9052205fd0,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,25/10/2020,28.31,73.91,94.02,24.64
25,Daron,Oganian,682b2476-4316-4e7d-80c5-de28a8bfb579,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,10/03/2019,38.67,47.26,89.51,91.2
26,Peggie,Angelo,223b2489-0b4d-443d-b4cc-4c09eba1f8e4,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,13/07/2019,12.37,58.68,78.71,94.39
27,Novelia,Sanzio,da582b56-ebcb-4d99-b81d-dc82b5599b0e,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,07/05/2019,12.44,29.53,3.98,80.06
28,Olympia,Drayson,b4eed14b-c3da-4552-912a-38e0264f56de,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,18/10/2019,44.36,23.47,11.15,77.86
29,Hinda,Robiou,8a528d9c-93db-4912-90d4-cb046e8823cc,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,03/10/2021,23.22,53.26,66.9,30.73
30,Gonzales,Stirtle,b917f4e1-1b0c-48ed-8829-d4dc70b2f25b,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,12/07/2019,19.63,23.68,,
31,Kristyn,Pahl,bbc922b6-f78a-4cae-affb-370b8b40072d,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,08/10/2019,2.78,36.67,52.79,9.24
32,Viola,Blasius,e4f8357e-eb8d-4745-b617-3d805d8541fa,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,28/06/2020,67.28,24.36,5.69,56.96
33,Noak,Taverner,228ed48c-9811-480c-83bc-2bf792159e3f,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,24/12/2020,67.7,83.93,56.27,36.06
34,Trina,Harbisher,41105ced-762f-42e2-a6dc-d47d25024f77,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,14/06/2020,42.07,48.53,22.81,87.74
35,Richardo,Bruhnicke,a0edf992-77a1-4f4f-9659-20080ea584b4,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,02/01/2019,33.28,31.56,37.86,13.31
36,Dale,Bousfield,0b2b5ce9-28c6-4097-96af-b81961443aae,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,18/11/2019,52.15,78.96,92.75,96.76
37,Moise,Zorzetti,70dfcc2e-9959-4c85-84f9-739ba852c256,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,21/12/2020,72.84,82.15,14.43,79.68
38,Jena,Schottli,a035c185-d677-4e2d-854c-15461d27f74f,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,27/10/2019,99.64,47.3,72.92,20.76
39,Milton,Sjollema,8c6d2473-b1e9-4df0-ae8a-5e63fe513584,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,02/02/2020,59.69,37.03,5.42,46.28
40,Pattin,Housden,53f25bbb-fb08-4f94-91bd-0831baef7ad7,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,23/04/2021,57.37,95.86,,
41,Adelind,Snoddin,b774952e-cd69-4b6b-8743-0e2c71b32eaf,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,04/07/2021,11.89,39.15,16.68,62.67
42,Aggi,Boulger,d7c88379-6998-46ec-b60f-968b68c66e37,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,28/02/2021,78.54,42.49,35.53,60.0
43,Bryon,Moubray,4ac470e5-d62b-4fdb-965c-f80725147a19,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,05/04/2021,23.84,79.52,24.73,42.24
44,Clarinda,Barratt,f79b9e3b-fc26-481c-8b10-687c1d93feaf,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,25/11/2019,74.39,7.31,38.46,43.61
45,Ximenez,Youens,25d94ad6-868d-48eb-a3fb-b83901bb793a,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,10/07/2021,45.88,27.87,51.75,45.92
46,Nanice,Seeviour,bac5ebd1-6628-493c-9ceb-67e81350a2d3,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,26/08/2021,58.6,44.78,24.19,19.81
47,Peadar,Scolli,b0e44c57-e113-43a0-aebe-e3bba5e0828d,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,01/02/2021,40.49,90.24,42.21,35.21
48,Silas,Tallowin,6e1842f7-559d-4a33-9297-22188ff341a0,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,10/04/2019,4.49,29.39,53.33,7.33
49,Valencia,Thirsk,3967b336-8220-482a-983b-ff20703e87cf,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,30/09/2019,33.14,56.42,16.36,55.07
50,Corina,Stanier,b7c5c3ca-bc4d-4ecb-b3bb-5487a3f1e374,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,10/12/2019,81.44,91.14,40.52,78.92
51,Rolland,Copes,8612c9ea-fb74-4ce4-92d0-0e9df9714013,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,10/10/2020,81.43,4.74,36.72,21.31
52,Flemming,Schumacher,1388b7b7-468e-4639-8fc1-741c1ea8fa1c,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,29/01/2019,67.98,51.37,51.44,26.37
53,Ban,Crigin,12bc1f14-f197-455c-81a2-7c911e218cb8,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,07/03/2021,84.48,1.26,,
54,Jamaal,Joselovitch,b59c1a29-8ede-4131-b376-b55b849f5a35,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,11/12/2020,52.19,75.04,85.28,68.23
55,Binny,Pedrozzi,9dfdad9e-23cd-479a-97c3-83df479aa9e7,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,04/01/2020,98.99,,,
56,Paquito,Devonish,60382914-15e3-4b5e-ab95-35ba54be6287,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,22/02/2020,17.91,86.75,11.0,60.6
57,Janna,Rubury,aab6545d-8683-4913-95c6-a9a0154763f8,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,08/12/2019,83.9,23.53,20.23,6.93
58,Greggory,Sillis,e571f84f-95d8-45d7-af87-dffad0289e69,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,22/08/2020,12.61,89.31,48.62,50.8
59,Gwenore,Cray,24685b2a-b016-49db-8790-290d036d8d91,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,26/03/2021,63.86,18.09,,
60,Helaina,Pentecust,b096b8fd-55fe-4c55-b79f-cbb5ad010916,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,07/05/2020,87.84,45.27,31.81,68.96
61,Karina,Donat,aa271510-f490-4183-9900-045f9846f775,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,25/11/2021,5.93,86.06,70.96,94.86
62,Stacee,Holdey,3ba14546-c081-45d7-8ace-c7ae1a9a00fa,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,24/04/2021,82.64,35.86,51.09,50.51
63,Launce,Goulder,60e32dc1-69fb-49d8-8758-8be90a8e7185,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,20/03/2020,23.71,10.41,71.83,68.14
64,Luis,Grealish,681949b6-bfd0-4186-b210-7f4cee66f14a,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,12/11/2021,47.6,50.24,91.35,49.5
65,Dredi,Easey,c4bf8d03-207c-40e2-b57b-97b862758bc5,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,06/02/2020,2.75,95.82,6.48,46.62
66,Rozina,Glassup,9b772a4e-df16-463a-84b5-574e82daa774,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,20/07/2020,94.97,82.69,,
67,Reginald,Syrett,74cadd55-d346-4f7c-bbe9-9f9e26c01c49,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,16/09/2019,86.3,52.52,96.27,7.6
68,Juli,Polglaze,f5623e3e-232a-40b2-9224-dc6e8da78f14,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,13/08/2021,14.28,66.19,,
69,Merrill,Axelbey,59a76774-bd9d-4149-ac1c-7355955dd2cd,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,01/11/2020,10.54,69.98,41.31,64.33
70,Stanford,Shackleton,9c7d471f-2b9e-4262-ab7b-7ce248834716,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,15/03/2020,61.5,81.37,47.91,95.29
71,Georgina,Moxstead,dbac0764-29de-4a2c-9270-052cea6821bf,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,26/12/2019,52.85,69.25,14.74,5.88
72,Maryrose,Wigglesworth,cf4b051e-5330-4ba3-9938-2d7dc71e8139,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,15/10/2019,12.5,50.36,40.42,19.78
73,Genny,holmes,ffe00bf9-cf71-4814-82d9-1289ed27d49d,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,04/02/2019,83.31,20.52,96.23,18.57
74,Rebecca,Peert,7f957639-ed9d-46bb-a20d-178dccbd5990,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,16/06/2021,1.25,98.23,3.87,68.73
75,Kelcie,Probet,c7c17e68-85a6-4143-a3f2-c8d3099ac1d5,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,28/09/2021,24.97,51.28,51.45,4.65
76,Xaviera,Izaks,2e1c2d48-34c5-45cb-9761-363905744ac7,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,14/06/2021,8.47,19.68,77.73,50.5
77,Orson,Keppe,5941fe3a-cc33-43fd-896f-b0e67ef37247,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,26/02/2019,26.18,37.25,45.56,18.1
78,Alfred,Ryle,5cc4c4b8-1e4e-4b22-b573-9da1d3bc7181,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,09/05/2021,97.71,58.61,99.13,69.6
79,Faith,Gerrish,ee677142-a453-4016-879f-82cc2de14292,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,31/01/2021,73.26,75.5,51.61,71.85
80,Myron,Gorrissen,d9fc1574-2ff2-4a41-bfb4-ae397ecf4232,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,28/05/2019,90.95,,,
81,Isacco,Quantrell,f16c3f1c-e3b3-4b7c-9528-359cb80db92f,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,07/04/2019,19.78,21.43,,
82,Barnabe,McQueen,25964fa7-693b-4826-bf5b-6c6af615a1a2,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,23/07/2020,45.75,97.91,80.49,43.99
83,Victoria,Cowpertwait,5e458dc4-587f-448d-812f-a3799cda851c,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,02/01/2019,71.37,52.93,,
84,Merle,Asch,64ba7d4e-c19e-4001-ba80-eb7b0584ffa9,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,21/05/2020,6.32,53.07,12.37,68.54
85,Erinn,Du Fray,21883988-29d1-4d1b-aaea-9809bc1685ee,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,04/04/2020,44.97,67.99,98.83,25.57
86,Joannes,Phizacklea,705979ee-dd71-4098-8eac-69989b3ddd74,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,04/06/2019,54.18,48.01,90.56,21.64
87,Anastasie,Crudge,3da4992a-5ddd-43df-90d2-8b5aae4ce65d,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,20/11/2020,97.35,52.14,,
88,Cynthie,Jeste,20243699-d397-4b6e-b1ba-96efb22879fb,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,06/04/2020,72.3,49.48,53.18,49.48
89,Margarete,Dillet,42380586-1003-4c87-b5aa-08099602ddd4,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,27/03/2020,86.48,67.05,21.83,31.47
90,Adolf,Luttgert,8fe4333a-1d62-4043-aaa3-9fa5eb33afe7,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,05/11/2021,73.39,57.9,10.43,37.97
91,Kristal,Heinl,1048d966-130e-46eb-a557-d288dada0953,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,23/08/2020,73.43,8.9,37.56,23.09
92,Willie,Cope,23076abd-b024-4649-b821-971fcf77fe30,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,30/03/2021,46.85,60.12,79.61,89.76
93,Freda,Rushmer,582aaca8-1113-45dc-9ca2-941ec4d4934f,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,04/06/2021,78.42,20.24,74.92,18.19
94,Salaidh,Hartin,cd136f32-fa6c-4a5a-b9cf-d3a188759bb6,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,12/11/2019,93.21,12.52,35.28,54.24
95,Ekaterina,Moscon,d5b47a0b-2cca-406a-8d7a-35f3c41903e8,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,11/11/2020,28.51,54.75,,
96,Celinda,Yitzhok,2b8b153b-b6a5-4320-bb77-e6753ece3fdf,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,30/06/2019,6.38,24.95,7.81,17.41
97,Siusan,Mourgue,3556d258-7056-4159-9a75-5b53c9d01f70,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,03/12/2021,30.71,24.16,67.4,90.91
98,Emmery,Roseburgh,c4d2cf5a-0d13-4c65-a88c-240df15a709d,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,01/05/2019,47.78,90.03,,
99,Paulette,Weldrick,76fd9d1c-d02c-4781-adbe-cbde6cd8c4ed,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,10/04/2020,46.08,12.53,76.2,84.25
100,Aurelea,Escalante,52f6c3d1-f12a-4a84-9dd1-9ef801d964df,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,18/11/2019,23.16,78.84,41.89,44.12
101,Darby,Mallion,6dcaaa61-400d-44a9-b0b4-9a517a919f73,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,28/08/2020,64.99,89.45,86.52,29.82
102,Dyanne,Hammell,1004dea5-768e-462e-8a66-46c153625dc4,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,20/05/2021,2.92,73.49,16.59,2.79
103,Alexis,Delagua,d63b0df3-d482-4e0a-85a7-677e115331a9,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,29/06/2021,95.49,49.73,,
104,Powell,Merner,e5231f38-749a-4c99-86f1-26790983f573,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,29/03/2020,47.94,73.01,20.12,51.41
105,Sharla,Leven,1f941aa4-95e8-4748-82c8-3936d99f1461,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,05/01/2021,48.85,54.83,52.9,24.83
106,Cornelle,Ceeley,a70bd67f-cb88-490d-b571-75f3a0718691,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,07/09/2019,88.8,37.0,55.32,45.26
107,Arlina,Beves,115c5af2-e886-4004-a133-ed94c113dc14,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,25/02/2020,81.05,67.38,21.53,75.66
108,Alfredo,Lasslett,cf09c7c8-c281-4a7f-a8f0-cd9c84c5d246,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,25/06/2021,16.88,43.12,74.06,1.17
109,Standford,Guildford,c410a08c-8192-4a55-ace2-2713434102ce,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,22/01/2020,87.11,54.12,,
110,Homer,Cancellieri,6a11c9b6-75a9-4ce6-8ae1-3556e2a5e8d4,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,21/06/2021,30.43,93.59,26.48,9.64
111,Mira,Groven,3195a739-ff29-4bcc-964d-b9095cad2ac1,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,25/01/2021,75.19,25.65,94.55,24.61
112,Keane,Bentham3,282333f4-637e-45e4-842d-c85eddfc7589,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,20/10/2021,72.35,49.9,9.26,4.03
113,Kamila,Murfill,13138e9a-39dc-4fc6-b52c-c917bc655ce8,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,09/02/2020,74.36,63.35,,
114,Dede,Likely,d5d7a6a9-77b7-4ef5-84bd-334aa3bd8e93,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,14/01/2019,19.47,92.0,66.29,45.75
115,Shena,Langston,bbb8ea2a-93b0-4e1a-846e-2b8d085d5823,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,07/08/2021,80.89,40.23,93.89,54.05
116,Valentino,Baldam,c2694803-95b4-4b67-bddb-56b85a90d2c2,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,07/09/2020,70.63,50.54,15.75,10.11
117,Antonius,Seton,6b00befe-4e39-484a-a67e-bface00219f5,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,29/06/2021,69.37,65.38,79.05,27.65
118,Matthaeus,Marling,83621e7e-04fa-4284-a6d7-97ec7c25cc99,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,28/12/2019,75.43,48.75,50.41,72.73
119,Ab,Kruschev,4486e68a-3bff-47c2-96fc-8796638bcc18,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,11/08/2020,69.52,87.17,,
120,Tommy,Hawking,95da8ec5-4c5c-4bc3-a8c6-2555b3b63740,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,25/12/2020,63.75,56.67,97.15,53.47
121,Fredrick,Gunter,2cfd7c9c-2d20-468a-a45f-1303eca6f46a,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,14/05/2020,91.59,15.51,19.35,20.22
122,Carter,Gamet,53265c85-3260-4efb-adac-20bfc81626b0,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,14/08/2021,26.06,21.91,29.29,72.68
123,Axel,Wagstaff,521909dc-d908-427e-a4e5-01f79485fa45,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,21/11/2019,67.54,39.3,82.38,84.48
124,Dov,Gatty,d02869a6-0abd-43bb-a009-7ee1aee301e0,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,12/09/2019,66.53,48.97,13.97,90.66
125,Gerti,Winwood,b0dd2ef8-a9c7-4d1a-a96f-8d002b773106,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,29/04/2020,35.44,55.69,26.48,47.09
126,Fulvia,Putterill,0160a236-479f-467d-be4e-71f0ce6060bd,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,03/01/2020,20.54,39.86,7.24,67.49
127,Karlee,Shankle,d802039d-90e3-4d36-a93f-c9fc2d9243ef,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,01/07/2021,86.09,14.29,50.23,28.19
128,Cecily,Cyples,dfbe1a42-5f6a-43cf-a167-477897884cdf,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,23/05/2021,87.29,24.37,54.81,96.9
129,Clem,Andren,c9043724-f133-4d7d-8922-66aa7f227cf1,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,07/12/2019,3.6,14.6,24.88,87.38
130,Yulma,Abisetti,645b32f5-f584-45db-8d05-0a5900293694,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,30/11/2019,34.17,32.39,69.19,85.09
131,Ainslie,Tillyer,f768c506-8e6f-4327-afee-277ed237ee1d,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,25/03/2021,85.48,29.7,,
132,Lucina,d' Elboux,4b79634a-4de1-44f6-ab65-3c0c171b2d11,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,09/09/2019,61.16,50.3,21.7,97.65
133,Edmund,Laminman,3a5315eb-a76b-4f3b-bb19-fc651210c12c,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,20/02/2020,35.41,87.99,,
134,Carmella,Giacoboni,b9d8eb26-6680-44b3-ba31-889abfb461e8,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,12/11/2019,86.09,95.95,51.1,98.64
135,Yvon,Pencost,6fc1c19d-2fbf-47f2-b83d-48277e80fb12,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,23/05/2021,32.68,41.01,5.29,96.15
136,Garek,Grise,4306a263-2843-488a-b593-23e381ee4d5b,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,27/10/2021,96.66,56.38,50.78,21.8
137,Marya,Eldrid,22985127-8f63-427e-8f46-36c24aa38ebe,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,18/04/2019,7.09,14.21,,
138,Ninnette,Kinchin,c6fd7d4c-5af5-4838-b305-bc27d9a5ce5b,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,05/06/2019,66.64,88.67,52.11,35.69
139,Rachel,Dilliston,0c5a1fab-f6b3-417b-b3ab-e2eae2415232,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,30/01/2021,43.13,91.17,67.37,44.41
140,Spenser,Klimshuk,ee16ad85-00db-40ff-a0ff-004b8786dd45,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,23/03/2020,4.07,8.69,80.23,31.62
141,Catherine,Keysall,0f14631e-6192-4bfb-9337-f79c696914bd,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,28/07/2020,38.34,91.99,98.45,79.51
142,Timmy,Camocke,f873488e-46e8-48bd-ab4e-14784219b57f,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,13/02/2021,44.26,96.07,21.81,48.04
143,Guillemette,Grishelyov,2178cb66-2349-4435-8ed9-34c28d3ab736,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,02/01/2019,22.98,45.03,73.16,17.19
144,Marcille,Benda,2da1bcd9-2ef8-4702-b487-65afd8b47543,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,11/10/2021,45.64,92.99,15.41,90.01
145,Haslett,Archibold,1a0fcf9d-0df0-4a84-8396-e04e5ede6ee0,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,31/10/2019,5.29,29.65,8.5,63.97
146,Clair,Hovy,72407057-dba8-4e3a-8610-18e6cf9d1279,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,23/02/2021,38.55,50.2,73.87,61.35
147,Lonnard,Chaman,10e167dd-bc74-47d6-9932-542f1271ecc7,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,22/04/2019,99.21,5.4,75.83,50.32
148,Dinah,Cammocke,769fc462-abc7-4482-b434-1605042ef81f,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,01/11/2021,94.24,91.58,43.91,9.95
149,Al,Andrag,5af29619-ab3e-489a-9264-b60d69db5e47,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,12/10/2020,90.45,91.32,73.2,71.43
150,Berk,Crowdace,a74d4901-5b48-49f7-aafe-c2c45e077b58,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,09/12/2020,85.55,42.22,53.95,7.05
151,Costanza,Tennock,dc88396c-ac6b-42a2-901c-4e66c7512289,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,10/12/2020,27.38,67.07,,
152,Jamal,Pedri,91c71ddf-7c17-4afd-aa39-427a43d2c6b9,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,25/11/2019,12.55,39.34,24.11,9.01
